# Population by region and gSSP SSP in future periods
scenario,GCAM_region_ID,year,value
SSP3,31,2076,66274.60047490746
SSP3,31,2077,66622.45600971229
SSP3,31,2078,66970.31154451711
SSP3,31,2079,67318.16707932194
SSP3,31,2080,67666.02261412676
SSP3,31,2081,68026.10323615653
SSP3,31,2082,68386.18385818628
SSP3,31,2083,68746.26448021605
SSP3,31,2084,69106.3451022458
SSP3,31,2085,69466.42572427557
SSP3,31,2086,69840.81626574068
SSP3,31,2087,70215.20680720582
SSP3,31,2088,70589.59734867094
SSP3,31,2089,70963.98789013608
SSP3,31,2090,71338.37843160119
SSP3,31,2091,71726.1950616601
SSP3,31,2092,72114.01169171899
SSP3,31,2093,72501.8283217779
SSP3,31,2094,72889.64495183677
SSP3,31,2095,73277.46158189567
SSP3,31,2096,73677.21887332045
SSP3,31,2097,74076.97616474524
SSP3,31,2098,74476.73345617
SSP3,31,2099,74876.49074759477
SSP3,31,2100,75276.24803901956
SSP3,32,2016,48187.046540799456
SSP3,32,2017,48853.426081598904
SSP3,32,2018,49519.80562239836
SSP3,32,2019,50186.18516319782
SSP3,32,2020,50852.56470399727
SSP3,32,2021,51520.887614604835
SSP3,32,2022,52189.21052521241
SSP3,32,2023,52857.53343581998
SSP3,32,2024,53525.85634642755
SSP3,32,2025,54194.179257035124
SSP3,32,2026,54852.30462285823
SSP3,32,2027,55510.42998868133
SSP3,32,2028,56168.55535450444
SSP3,32,2029,56826.680720327546
SSP3,32,2030,57484.80608615065
SSP3,32,2031,58102.40791185247
SSP3,32,2032,58720.00973755429
SSP3,32,2033,59337.611563256105
SSP3,32,2034,59955.21338895792
SSP3,32,2035,60572.81521465974
SSP3,32,2036,61160.35358696871
SSP3,32,2037,61747.89195927768
SSP3,32,2038,62335.43033158666
SSP3,32,2039,62922.968703895625
SSP3,32,2040,63510.507076204594
SSP3,32,2041,64076.88670290196
SSP3,32,2042,64643.266329599326
SSP3,32,2043,65209.64595629668
SSP3,32,2044,65776.02558299404
SSP3,32,2045,66342.40520969141
SSP3,32,2046,66889.95601938531
SSP3,32,2047,67437.50682907921
SSP3,32,2048,67985.05763877313
SSP3,32,2049,68532.60844846703
SSP3,32,2050,69080.15925816093
SSP3,32,2051,69597.26077360692
SSP3,32,2052,70114.36228905291
SSP3,32,2053,70631.4638044989
SSP3,32,2054,71148.5653199449
SSP3,32,2055,71665.66683539089
SSP3,32,2056,72152.49218662421
SSP3,32,2057,72639.31753785753
SSP3,32,2058,73126.14288909086
SSP3,32,2059,73612.96824032419
SSP3,32,2060,74099.7935915575
SSP3,32,2061,74560.5400322637
SSP3,32,2062,75021.28647296989
SSP3,32,2063,75482.03291367607
SSP3,32,2064,75942.77935438228
SSP3,32,2065,76403.52579508846
SSP3,32,2066,76840.50074677962
SSP3,32,2067,77277.4756984708
SSP3,32,2068,77714.45065016196
SSP3,32,2069,78151.42560185313
SSP3,32,2070,78588.4005535443
SSP3,32,2071,79004.91436090067
SSP3,32,2072,79421.42816825706
SSP3,32,2073,79837.94197561343
SSP3,32,2074,80254.45578296982
SSP3,32,2075,80670.9695903262
SSP3,32,2076,81070.85359441598
SSP3,32,2077,81470.73759850576
SSP3,32,2078,81870.62160259554
SSP3,32,2079,82270.50560668533
SSP3,32,2080,82670.3896107751
SSP3,32,2081,83061.2620768728
SSP3,32,2082,83452.13454297048
SSP3,32,2083,83843.00700906818
SSP3,32,2084,84233.87947516587
SSP3,32,2085,84624.75194126356
SSP3,32,2086,85014.40591690961
SSP3,32,2087,85404.05989255566
SSP3,32,2088,85793.7138682017
SSP3,32,2089,86183.36784384774
SSP3,32,2090,86573.02181949378
SSP3,32,2091,86965.97419704488
SSP3,32,2092,87358.92657459599
SSP3,32,2093,87751.87895214708
SSP3,32,2094,88144.8313296982
SSP3,32,2095,88537.78370724928
SSP3,32,2096,88932.66070954408
SSP3,32,2097,89327.53771183889
SSP3,32,2098,89722.4147141337
SSP3,32,2099,90117.2917164285
SSP3,32,2100,90512.16871872329
SSP4,1,2016,326651.043880247
SSP4,1,2017,328937.301760494
SSP4,1,2018,331223.5596407409
SSP4,1,2019,333509.817520988
SSP4,1,2020,335796.0754012349
SSP4,1,2021,337935.979726166
SSP4,1,2022,340075.884051097
SSP4,1,2023,342215.788376028
SSP4,1,2024,344355.69270095904
SSP4,1,2025,346495.5970258901
SSP4,1,2026,348327.90869579883
SSP4,1,2027,350160.2203657077
SSP4,1,2028,351992.5320356165
SSP4,1,2029,353824.8437055252
SSP4,1,2030,355657.15537543397
SSP4,1,2031,357292.4455458005
SSP4,1,2032,358927.73571616696
SSP4,1,2033,360563.0258865335
SSP4,1,2034,362198.31605689996
SSP4,1,2035,363833.6062272665
SSP4,1,2036,365220.82114661654
SSP4,1,2037,366608.03606596665
SSP4,1,2038,367995.25098531664
SSP4,1,2039,369382.46590466675
SSP4,1,2040,370769.6808240168
SSP4,1,2041,371860.5458911202
SSP4,1,2042,372951.4109582236
SSP4,1,2043,374042.2760253271
SSP4,1,2044,375133.1410924305
SSP4,1,2045,376224.006159534
SSP4,1,2046,377057.04174720874
SSP4,1,2047,377890.07733488374
SSP4,1,2048,378723.11292255856
SSP4,1,2049,379556.14851023344
SSP4,1,2050,380389.18409790826
SSP4,1,2051,381098.5858484016
SSP4,1,2052,381807.987598895
SSP4,1,2053,382517.38934938837
SSP4,1,2054,383226.7910998817
SSP4,1,2055,383936.192850375
SSP4,1,2056,384557.94648561743
SSP4,1,2057,385179.7001208597
SSP4,1,2058,385801.4537561022
SSP4,1,2059,386423.2073913445
SSP4,1,2060,387044.96102658694
SSP4,1,2061,387486.16730043857
SSP4,1,2062,387927.37357429025
SSP4,1,2063,388368.5798481418
SSP4,1,2064,388809.7861219936
SSP4,1,2065,389250.9923958452
SSP4,1,2066,389448.7513886132
SSP4,1,2067,389646.5103813813
SSP4,1,2068,389844.26937414927
SSP4,1,2069,390042.02836691734
SSP4,1,2070,390239.7873596854
SSP4,1,2071,390134.13457304984
SSP4,1,2072,390028.48178641446
SSP4,1,2073,389922.82899977884
SSP4,1,2074,389817.1762131434
SSP4,1,2075,389711.52342650783
SSP4,1,2076,389261.3704314908
SSP4,1,2077,388811.2174364738
SSP4,1,2078,388361.0644414568
SSP4,1,2079,387910.91144643986
SSP4,1,2080,387460.7584514228
SSP4,1,2081,386684.18533737137
SSP4,1,2082,385907.6122233199
SSP4,1,2083,385131.0391092686
SSP4,1,2084,384354.4659952171
SSP4,1,2085,383577.8928811657
SSP4,1,2086,382532.87073153444
SSP4,1,2087,381487.8485819032
SSP4,1,2088,380442.82643227186
