# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Tonga,1987,0,ton,29
Trinidad and Tobago,1987,0.0036180988542496915,tto,9
Tunisia,1987,2.001041219839142e-4,tun,3
Turkey,1987,0.007460338361652536,tur,15
Turkmenistan,1987,0,tkm,10
Turks and Caicos Islands,1987,0,tca,13
Tuvalu,1987,0,tuv,29
U.S. Pacific Islands,1987,2.001041219839142e-4,mhl,29
Uganda,1987,0,uga,2
Ukraine,1987,0,ukr,14
United Arab Emirates,1987,0.2902591412669372,are,21
United Kingdom,1987,0.0676387987102384,gbr,13
United States,1987,0,usa,1
Uruguay,1987,0.007067941990314712,ury,26
Uzbekistan,1987,0,uzb,10
Vanuatu,1987,0,vut,29
Venezuela,1987,0.02779223916443253,ven,25
Vietnam,1987,0,vnm,29
"Virgin Islands,  U.S.",1987,0.006963983993007752,vir,1
"Virgin Islands, British",1987,0,vgb,13
Wake Island,1987,0.015207913270777482,usa,1
Western Sahara,1987,8.694524100201074e-5,esh,3
Western Sahara,1987,8.694524100201074e-5,esh,3
Yemen,1987,0.01507270778295051,yem,21
Yemen,1987,0.01507270778295051,yem,21
Zambia,1987,0.0016008329758713136,zmb,4
Zambia,1987,0.0016008329758713136,zmb,4
Zimbabwe,1987,0.0042021865616621995,zwe,4
Zimbabwe,1987,0.0042021865616621995,zwe,4
Afghanistan,1988,4.002082439678284e-4,afg,27
Albania,1988,0,alb,15
Algeria,1988,0.014239841977936384,dza,3
American Samoa,1988,0,asm,29
Angola,1988,0.03401169160447311,ago,4
Antigua and Barbuda,1988,0.0014007288538873995,atg,9
Argentina,1988,0.023333462632538705,arg,31
Armenia,1988,0,arm,10
Aruba,1988,0,abw,9
Australia,1988,0.024078595098785117,aus,6
Austria,1988,0,aut,13
Azerbaijan,1988,0,aze,10
"Bahamas, The",1988,0.011358462804023865,bhs,9
Bahrain,1988,0.024445152199116003,bhr,21
Bangladesh,1988,6.221808020095162e-4,bgd,27
Barbados,1988,0.005024471485655629,brb,9
Belarus,1988,0,blr,14
Belgium,1988,0.1515323016236746,bel,13
Belize,1988,3.6178825254691696e-5,blz,9
Benin,1988,6.003123659517426e-4,ben,5
Bermuda,1988,0.0016052052208909986,bmu,9
Bhutan,1988,0,btn,27
Bolivia,1988,0,bol,26
Bosnia and Herzegovina,1988,0,bih,15
Botswana,1988,0,bwa,4
Brazil,1988,0.041991819952660436,bra,7
Brunei,1988,0,brn,29
Bulgaria,1988,0,bgr,12
