# For the SSP scenarios, SSP GDP projections are scaled to match 
# historical values in the base year (2010).  For the gSSP scenarios 
# IMF growth projections are applied from 2010-2020, and the SSP projections 
# are scaled to match the 2020 values resulting from this process.
GCAM_region_ID,year,value,scenario
17,2075,31320323.990556277,gSSP5
17,2076,31952822.754454933,gSSP5
17,2077,32585321.51835359,gSSP5
17,2078,33217820.28225224,gSSP5
17,2079,33850319.0461509,gSSP5
17,2080,34482817.81004955,gSSP5
17,2081,35084234.73295703,gSSP5
17,2082,35685651.65586451,gSSP5
17,2083,36287068.57877198,gSSP5
17,2084,36888485.501679465,gSSP5
17,2085,37489902.424586944,gSSP5
17,2086,38049383.48375214,gSSP5
17,2087,38608864.54291735,gSSP5
17,2088,39168345.60208254,gSSP5
17,2089,39727826.661247745,gSSP5
17,2090,40287307.72041295,gSSP5
17,2091,40799335.4953327,gSSP5
17,2092,41311363.27025247,gSSP5
17,2093,41823391.04517222,gSSP5
17,2094,42335418.82009198,gSSP5
17,2095,42847446.59501175,gSSP5
17,2096,43299989.71716554,gSSP5
17,2097,43752532.83931933,gSSP5
17,2098,44205075.961473115,gSSP5
17,2099,44657619.08362691,gSSP5
17,2100,45110162.20578071,gSSP5
18,2025,1091573.5542338334,gSSP1
18,2026,1175857.9137844795,gSSP1
18,2027,1260142.2733351258,gSSP1
18,2028,1344426.6328857718,gSSP1
18,2029,1428710.992436418,gSSP1
18,2030,1512995.3519870641,gSSP1
18,2031,1621020.1908662915,gSSP1
18,2032,1729045.0297455185,gSSP1
18,2033,1837069.8686247459,gSSP1
18,2034,1945094.7075039728,gSSP1
18,2035,2053119.5463832004,gSSP1
18,2036,2178353.625167485,gSSP1
18,2037,2303587.7039517686,gSSP1
18,2038,2428821.782736053,gSSP1
18,2039,2554055.8615203374,gSSP1
18,2040,2679289.940304621,gSSP1
18,2041,2812328.5150626013,gSSP1
18,2042,2945367.089820581,gSSP1
18,2043,3078405.66457856,gSSP1
18,2044,3211444.2393365395,gSSP1
18,2045,3344482.8140945192,gSSP1
18,2046,3480155.2944573625,gSSP1
18,2047,3615827.7748202058,gSSP1
18,2048,3751500.255183049,gSSP1
18,2049,3887172.7355458927,gSSP1
18,2050,4022845.215908736,gSSP1
18,2051,4158395.1519693923,gSSP1
18,2052,4293945.0880300505,gSSP1
18,2053,4429495.024090707,gSSP1
18,2054,4565044.960151364,gSSP1
18,2055,4700594.896212022,gSSP1
18,2056,4831810.713018553,gSSP1
18,2057,4963026.529825086,gSSP1
18,2058,5094242.346631616,gSSP1
18,2059,5225458.163438147,gSSP1
18,2060,5356673.980244678,gSSP1
18,2061,5478695.963905836,gSSP1
18,2062,5600717.9475669935,gSSP1
18,2063,5722739.9312281525,gSSP1
18,2064,5844761.91488931,gSSP1
18,2065,5966783.898550468,gSSP1
18,2066,6073505.995870399,gSSP1
18,2067,6180228.093190331,gSSP1
18,2068,6286950.190510264,gSSP1
18,2069,6393672.287830194,gSSP1
18,2070,6500394.385150126,gSSP1
18,2071,6591351.919468519,gSSP1
18,2072,6682309.453786913,gSSP1
18,2073,6773266.988105306,gSSP1
18,2074,6864224.522423699,gSSP1
18,2075,6955182.056742093,gSSP1
18,2076,7032319.26778973,gSSP1
18,2077,7109456.478837367,gSSP1
18,2078,7186593.6898850035,gSSP1
18,2079,7263730.900932641,gSSP1
18,2080,7340868.111980278,gSSP1
18,2081,7404020.839976629,gSSP1
18,2082,7467173.567972982,gSSP1
18,2083,7530326.2959693335,gSSP1
18,2084,7593479.023965687,gSSP1
18,2085,7656631.751962038,gSSP1
18,2086,7706506.574603234,gSSP1
18,2087,7756381.397244432,gSSP1
18,2088,7806256.2198856305,gSSP1
18,2089,7856131.042526827,gSSP1
18,2090,7906005.865168025,gSSP1
18,2091,7943309.094519487,gSSP1
18,2092,7980612.3238709485,gSSP1
