# Values are calculated using L1321.in_EJ_R_cement_F_Y then added GCAM region information and supplysector, subsector, technology, and input information
region,supplysector,subsector,stub.technology,year,minicam.energy.input,calibrated.value,share.weight.year,subs.share.weight,tech.share.weight
EU-12,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.078791,2010,1,1
EU-12,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.078791,2015,1,1
EU-15,process heat cement,biomass,biomass,1975,delivered biomass,0.1199582,1975,1,1
EU-15,process heat cement,biomass,biomass,1990,delivered biomass,0.1130088,1990,1,1
EU-15,process heat cement,biomass,biomass,2005,delivered biomass,0.1100892,2005,1,1
EU-15,process heat cement,biomass,biomass,2010,delivered biomass,0.0982089,2010,1,1
EU-15,process heat cement,biomass,biomass,2015,delivered biomass,0.0982089,2015,1,1
EU-15,process heat cement,coal,coal,1975,delivered coal,0.2319192,1975,1,1
EU-15,process heat cement,coal,coal,1990,delivered coal,0.2184836,1990,1,1
EU-15,process heat cement,coal,coal,2005,delivered coal,0.2128391,2005,1,1
EU-15,process heat cement,coal,coal,2010,delivered coal,0.1898706,2010,1,1
EU-15,process heat cement,coal,coal,2015,delivered coal,0.1898706,2015,1,1
EU-15,process heat cement,gas,gas,1975,wholesale gas,0.0079972,1975,1,1
EU-15,process heat cement,gas,gas,1990,wholesale gas,0.0075339,1990,1,1
EU-15,process heat cement,gas,gas,2005,wholesale gas,0.0073393,2005,1,1
EU-15,process heat cement,gas,gas,2010,wholesale gas,0.0065473,2010,1,1
EU-15,process heat cement,gas,gas,2015,wholesale gas,0.0065473,2015,1,1
EU-15,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.4398468,1975,1,1
EU-15,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.4143655,1990,1,1
EU-15,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.4036603,2005,1,1
EU-15,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.3600994,2010,1,1
EU-15,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.3600994,2015,1,1
Europe_Eastern,process heat cement,biomass,biomass,1975,delivered biomass,0.0013313,1975,1,1
Europe_Eastern,process heat cement,biomass,biomass,1990,delivered biomass,0.00123,1990,1,1
Europe_Eastern,process heat cement,biomass,biomass,2005,delivered biomass,5.736e-4,2005,1,1
Europe_Eastern,process heat cement,biomass,biomass,2010,delivered biomass,5.292e-4,2010,1,1
Europe_Eastern,process heat cement,biomass,biomass,2015,delivered biomass,5.292e-4,2015,1,1
Europe_Eastern,process heat cement,coal,coal,1975,delivered coal,0.0093192,1975,1,1
Europe_Eastern,process heat cement,coal,coal,1990,delivered coal,0.0086097,1990,1,1
Europe_Eastern,process heat cement,coal,coal,2005,delivered coal,0.004015,2005,1,1
Europe_Eastern,process heat cement,coal,coal,2010,delivered coal,0.0037046,2010,1,1
Europe_Eastern,process heat cement,coal,coal,2015,delivered coal,0.0037046,2015,1,1
Europe_Eastern,process heat cement,gas,gas,1975,wholesale gas,0.090529,1975,1,1
Europe_Eastern,process heat cement,gas,gas,1990,wholesale gas,0.0836373,1990,1,1
Europe_Eastern,process heat cement,gas,gas,2005,wholesale gas,0.0390029,2005,1,1
Europe_Eastern,process heat cement,gas,gas,2010,wholesale gas,0.0359879,2010,1,1
Europe_Eastern,process heat cement,gas,gas,2015,wholesale gas,0.0359879,2015,1,1
Europe_Eastern,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0319514,1975,1,1
Europe_Eastern,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0295191,1990,1,1
Europe_Eastern,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0137657,2005,1,1
Europe_Eastern,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0127016,2010,1,1
Europe_Eastern,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0127016,2015,1,1
Europe_Non_EU,process heat cement,biomass,biomass,1975,delivered biomass,0.012162,1975,1,1
Europe_Non_EU,process heat cement,biomass,biomass,1990,delivered biomass,0.0187771,1990,1,1
Europe_Non_EU,process heat cement,biomass,biomass,2005,delivered biomass,0.0289994,2005,1,1
Europe_Non_EU,process heat cement,biomass,biomass,2010,delivered biomass,0.0352913,2010,1,1
Europe_Non_EU,process heat cement,biomass,biomass,2015,delivered biomass,0.0352913,2015,1,1
Europe_Non_EU,process heat cement,coal,coal,1975,delivered coal,0.0235131,1975,1,1
Europe_Non_EU,process heat cement,coal,coal,1990,delivered coal,0.0363025,1990,1,1
Europe_Non_EU,process heat cement,coal,coal,2005,delivered coal,0.0560654,2005,1,1
Europe_Non_EU,process heat cement,coal,coal,2010,delivered coal,0.0682298,2010,1,1
Europe_Non_EU,process heat cement,coal,coal,2015,delivered coal,0.0682298,2015,1,1
Europe_Non_EU,process heat cement,gas,gas,1975,wholesale gas,8.108e-4,1975,1,1
Europe_Non_EU,process heat cement,gas,gas,1990,wholesale gas,0.0012518,1990,1,1
Europe_Non_EU,process heat cement,gas,gas,2005,wholesale gas,0.0019333,2005,1,1
Europe_Non_EU,process heat cement,gas,gas,2010,wholesale gas,0.0023528,2010,1,1
Europe_Non_EU,process heat cement,gas,gas,2015,wholesale gas,0.0023528,2015,1,1
Europe_Non_EU,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0445939,1975,1,1
