# Future population calculated as final historical year (2010) population times ratio of SSP future years to SSP 2010
scenario,year,iso,value
SSP5,2063,wsm,85.41416522777092
SSP5,2063,yem,46595.271274516745
SSP5,2063,zaf,69121.59608439905
SSP5,2063,zmb,28867.168676112156
SSP5,2063,zwe,8856.698608652836
SSP5,2064,abw,149.53777988357837
SSP5,2064,afg,58522.858984199025
SSP5,2064,ago,54116.42471003302
SSP5,2064,aia,14.279
SSP5,2064,alb,2426.287604517569
SSP5,2064,and,78.01100000000001
SSP5,2064,ant,200.689
SSP5,2064,are,18113.961948904307
SSP5,2064,arg,43706.33958167502
SSP5,2064,arm,1740.971948434434
SSP5,2064,asm,55.812
SSP5,2064,atg,93.566
SSP5,2064,aus,51982.475181568436
SSP5,2064,aut,11850.672053152215
SSP5,2064,aze,9957.249681178766
SSP5,2064,bdi,19152.061800331056
SSP5,2064,bel,17010.14697904214
SSP5,2064,ben,19956.968998355496
SSP5,2064,bfa,32688.69943791557
SSP5,2064,bgd,160458.75220474091
SSP5,2064,bgr,5908.4206689153625
SSP5,2064,bhr,3127.9154823239223
SSP5,2064,bhs,487.11064197677473
SSP5,2064,bih,2678.600554573678
SSP5,2064,blr,7293.502317392995
SSP5,2064,blz,338.64817832623686
SSP5,2064,bmu,63.69200000000001
SSP5,2064,bol,10949.248495640502
SSP5,2064,bra,202201.49195137538
SSP5,2064,brb,242.6703426424437
SSP5,2064,brn,547.779273000609
SSP5,2064,btn,1143.567255175113
SSP5,2064,bwa,2774.7071548507733
SSP5,2064,caf,6437.856950822859
SSP5,2064,can,69276.25177286961
SSP5,2064,che,12611.628269504405
SSP5,2064,chi,165.38500000000002
SSP5,2064,chl,18741.62281391564
SSP5,2064,chn,1107465.8259805427
SSP5,2064,civ,26290.103349886995
SSP5,2064,cmr,33860.300722294436
SSP5,2064,cod,143827.5572178825
SSP5,2064,cog,8425.451376401421
SSP5,2064,cok,17.586
SSP5,2064,col,54379.9350854485
SSP5,2064,com,891.5122734241626
SSP5,2064,cpv,359.8178090608157
SSP5,2064,cri,6346.652864541346
SSP5,2064,cub,6964.9179126118215
SSP5,2064,cym,61.724000000000004
SSP5,2064,cyp,1704.5230798192688
SSP5,2064,cze,14755.75879110113
SSP5,2064,deu,95812.67384106565
SSP5,2064,dji,1229.0839079910465
SSP5,2064,dma,71.18299999999999
SSP5,2064,dnk,8884.74093540443
SSP5,2064,dom,10263.29557206185
SSP5,2064,dza,45645.60538571006
SSP5,2064,ecu,17951.20103774594
SSP5,2064,egy,117280.65543348229
SSP5,2064,eri,6258.226186794453
SSP5,2064,esh,526.216
SSP5,2064,esp,64822.37416642892
SSP5,2064,est,1487.3451364634889
SSP5,2064,eth,157862.30009154195
SSP5,2064,fin,8138.174396539609
SSP5,2064,fji,572.882899945083
SSP5,2064,flk,2.8339999999999996
SSP5,2064,fra,98851.27697796466
SSP5,2064,fro,48.050999999999995
SSP5,2064,fsm,44.53765683292257
SSP5,2064,gab,2608.0456506592254
SSP5,2064,gbr,103553.24569829648
SSP5,2064,geo,2042.3528261814497
SSP5,2064,gha,42228.54788700401
SSP5,2064,gib,33.736000000000004
SSP5,2064,gin,11173.835066902935
SSP5,2064,glp,373.871514334256
SSP5,2064,gmb,2936.046899513799
SSP5,2064,gnb,2325.17742116929
SSP5,2064,gnq,2275.9071658661583
SSP5,2064,grc,12497.970594840688
SSP5,2064,grd,68.90970264500362
SSP5,2064,grl,56.376999999999995
SSP5,2064,gtm,19263.086813179125
SSP5,2064,guf,377.21494787112346
SSP5,2064,gum,183.64453892583478
SSP5,2064,guy,415.9232836899007
SSP5,2064,hkg,10326.042158340557
SSP5,2064,hnd,10028.867675659953
SSP5,2064,hrv,3736.256335883325
SSP5,2064,hti,10002.750511383889
SSP5,2064,hun,10381.837736451524
SSP5,2064,idn,259635.5083892635
SSP5,2064,imn,83.23400000000001
SSP5,2064,ind,1528337.8409098836
SSP5,2064,irl,8358.648984955207
SSP5,2064,irn,83322.3280749914
SSP5,2064,irq,59612.46384867515
SSP5,2064,isl,661.4623459302949
SSP5,2064,isr,20337.20580715562
SSP5,2064,ita,72671.87613055308
SSP5,2064,jam,1780.3396304103485
SSP5,2064,jor,18522.01062944407
SSP5,2064,jpn,121168.63554729072
SSP5,2064,kaz,19199.295077404568
SSP5,2064,ken,75300.59991846552
SSP5,2064,kgz,4912.575433715782
SSP5,2064,khm,13639.95044331588
SSP5,2064,kir,110.93
SSP5,2064,kna,51.203
SSP5,2064,kor,51475.853096067054
SSP5,2064,kwt,7932.936860925177
SSP5,2064,lao,6963.473709319987
SSP5,2064,lbn,6616.407826851239
SSP5,2064,lbr,11271.649186336432
SSP5,2064,lby,8078.201753063867
SSP5,2064,lca,181.2583014309043
SSP5,2064,lie,37.47
SSP5,2064,lka,18346.63828139885
SSP5,2064,lso,2173.951495293009
SSP5,2064,ltu,1971.9719939877257
SSP5,2064,lux,1258.104661268954
SSP5,2064,lva,1522.2194580347527
SSP5,2064,mac,895.8455637040054
